Pergunta;Resposta
"O que Drucker diz sobre a inovação?";"Que qualquer organização decai rapidamente se não inovar continuamente."
"Qual a função social da administração?";"Transformar recursos em produção e promover o progresso econômico."
"O que é a visão integrada da estratégia?";"Uma direção articulada que nasce da intuição estratégica."
"O que Mintzberg diz sobre o mundo?";"Que o mundo não é estável e exige pensamento estratégico em vez de apenas planos."
"Como o IBAMA atua no SNUC?";"Como órgão executor para implementar políticas ambientais federais."
"O que é o planejamento sistêmico no serviço público?";"Uso das funções administrativas para alcançar metas políticas e sociais."
"O que é o zoneamento ecológico-econômico?";"Uma ferramenta administrativa vital para o planejamento florestal."
"Qual o objetivo do SNUC?";"Estabelecer critérios para criação, implantação e gestão de unidades de conservação."
"O que é preservação integral?";"Categoria de proteção que admite apenas o uso indireto dos recursos naturais."
"O que é uso sustentável?";"Categoria que busca compatibilizar conservação com uso de recursos."
"O que caracteriza o Parque Nacional do Tumucumaque?";"É a maior unidade de proteção integral de floresta tropical do mundo."
"Qual a área aproximada do Parque do Tumucumaque?";"Cerca de 3,86 milhões de hectares."
"Como o sistema administrativo agiu no caso Tumucumaque?";"Através de planejamento acelerado e vontade política para a Rio+10."
"O que é a integração social em Hawthorne?";"A capacidade social do trabalhador que define seu nível de produtividade."
"O que é o sistema informal?";"Rede de crenças e expectativas que cada participante assimila no trabalho."
"Como a fadiga afeta o sistema produtivo?";"Reduz a eficiência; Taylor buscou neutralizá-la com métodos racionais."
"O que é o imperativo tecnológico de Thompson?";"O papel da tecnologia na determinação da estrutura das empresas."
"O que é a mutabilidade para Tom Peters?";"A mutabilidade dos mercados deve estar acima da intenção de continuidade."
"O que é a paixão no trabalho para Peters?";"Um ingrediente necessário em um mundo altamente competitivo."
"O que é a destruição criativa na gestão?";"Eliminar estruturas velhas que obstruem o progresso organizacional."
"Quem profetizou a morte da gerência média?";"Tom Peters no livro 'Liberation Management'."
"O que é a maestria pessoal para Senge?";"Disciplina ligada ao autoconhecimento e crescimento contínuo."
"O que são os modelos mentais?";"Imagens internas que filtram nossa percepção do mundo organizacional."
"O que é o aprendizado em equipe?";"Desenvolvimento de habilidades coletivas superiores à soma das individuais."
"O que é a culpa externa no aprendizado?";"Mecanismo de defesa que atribui falhas ao ambiente (governo, rivais)."
"O que é a parábola do sapo fervido (implícita)?";"A não percepção de mudanças gradativas que ameaçam o sistema."
"O que Mintzberg diz sobre dados brutos?";"Que sozinhos eles não captam nuances e fofocas importantes para a decisão."
"O que é a análise sistêmica da organização?";"Considerar as partes e o todo em constante interação."
"Como o sistema burocrático busca eficiência?";"Através da racionalidade, formalização e divisão do trabalho."
"O que é a racionalidade técnica?";"Uso de conhecimentos profissionais para otimizar processos internos."
"O que é o processo administrativo sistêmico?";"O ciclo de planejar, organizar, dirigir e controlar."
"Como a cibernética influenciou a gestão moderna?";"Trouxe conceitos de automação e controle tecnológico."
"O que é o capital intelectual para Drucker?";"A propriedade do conhecimento transportável dos trabalhadores."
"O que é o trabalhador temporário no novo sistema?";"Flexibilização da força de trabalho para lidar com diferentes demandas."
"Por que a concentração total na empresa não funciona mais?";"Devido à necessidade de conhecimentos altamente especializados e caros."
"O que Drucker diz sobre o cliente?";"Que agora o cliente possui a informação no novo sistema econômico."
"O que é o legado de Peter Drucker?";"A invenção da gestão como disciplina prática e humanista."
"Qual a diferença entre administrar lucro e voluntários?";"Embora os fundos variem, as funções de estratégia e metas são as mesmas."
"O que é a administração como função social mundial?";"Sua aplicação a todos os empreendimentos humanos coletivos."
"O que é a visão integrada de sistema e ambiente?";"Entender que a eficácia depende da adaptação às mudanças externas."
"Como o conflito sinaliza vitalidade?";"Demonstra que ideias e atitudes diferentes estão em choque, gerando inovação."
"O que é a teoria de campo de Kurt Lewin?";"Influência para técnicas de mudança e desenvolvimento organizacional."
"O que é a abordagem de sistema aberto dos estruturalistas?";"Compatibilizar visões clássicas e humanísticas sob uma nova ótica."
"O que é o imperativo ambiental?";"A necessidade de a empresa adaptar sua estrutura às demandas do meio externo."
"Como a monografia une teoria e realidade?";"Através de um caso-demonstrativo real sobre a criação de um parque nacional."
"O que é a dramatização do caso administrativo?";"Uso de artes cênicas para ilustrar funções como planejamento e controle."
"Por que o profissional florestal usa administração?";"Para tomada de decisões em planos de manejo e gestão de áreas silvestres."
"O que é administrar um viveiro sob a ótica sistêmica?";"Planejar, organizar e controlar recursos biológicos e humanos."
"O que é a conduta racional das atividades?";"Definição básica de administração para Chiavenato."
"O que é a divisão do trabalho sistêmica?";"Atividades diferenciadas coordenadas para o sucesso da organização."
"Como o Homem desenvolve a atividade administrativa?";"Buscando realizar objetivos através do planejamento cotidiano."
"Qual a relação entre empresa comercial e desempenho?";"O desempenho econômico é sua missão específica e razão de ser."
"O que é a eficiência organizacional weberiana?";"Racionalidade aplicada para atingir previsibilidade de comportamento."
"O que é o mérito funcional na burocracia?";"Promoção baseada em testes e julgamento de competência técnica."
"O que é a autoridade legal-racional?";"Obediência às regras e regulamentos, não à pessoa física."
"O que é a especialização do burocrata?";"Ocupação de cargos baseada em treinamento especializado e completo."
"Como a burocracia se perpetua?";"Através de uma máquina que continua funcionando mesmo com mudanças de governo."
"O que é a renda constante para a burocracia?";"Impostos no setor público ou lucros no setor privado."
"O que são ad-hocracias?";"Organizações com modelos fluidos de decisão e poucos regulamentos."
"O que é a inadequação da burocracia?";"Sua incapacidade de lidar com a variabilidade do ser humano."
"O que é a internalização das diretrizes?";"Disfunção onde as regras viram objetivos finais, em vez de meios."
"O que é o excesso de formalismo?";"Disfunção onde a documentação excessiva prejudica a agilidade do sistema."
"O que é a superconformidade?";"Disfunção que bitola o desempenho do funcionário aos regulamentos."
"O que é a resistência sistêmica à mudança?";"Medo de perder posição ou segurança frente a novas demandas ambientais."
"Como Elton Mayo via o ser humano?";"Como um ser complexo condicionado por sistemas sociais."
"O que é a supervisão branda em Hawthorne?";"Estilo de liderança que permite liberdade e reduz ansiedade no sistema."
"Como a amizade afeta a administração?";"Aspecto relevante das relações humanas que impacta a produtividade."
"O que são sanções sociais?";"Punições simbólicas aplicadas pelo grupo informal aos seus membros."
"Qual a importância do conteúdo do cargo?";"Trabalhos monótonos afetam negativamente a eficiência do sistema."
"O que é a humanização das empresas?";"Esforço pioneiro das Relações Humanas para considerar a satisfação no trabalho."
"O que é a Teoria do Comportamento Organizacional?";"Abordagem focada nos estilos de gerência e na integração de objetivos."
"O que é a mudança organizacional planejada?";"Base do Desenvolvimento Organizacional para melhorar a eficácia."
"Como a tecnologia posta a serviço da empresa age?";"Moldando a estrutura e o funcionamento do sistema organizacional."
"O que é a adaptabilidade ambiental?";"Fator determinante para o sucesso das empresas segundo a contingência."
"O que é a análise interorganizacional sistêmica?";"Estudo das interações de rede entre diferentes organizações."
"O que é o pensamento sistêmico na era da informação?";"Entender a interconexão global e a mutabilidade dos mercados."
"O que é o capital intelectual nas novas abordagens?";"O valor gerado pelo conhecimento e aprendizado organizacional."
"O que é a gestão por objetivos na era moderna?";"Definir estratégia e metas para medição do desempenho organizacional."
"Como a missão social define a instituição?";"Como um meio para satisfazer necessidades da sociedade, não um fim em si."
"O que Drucker diz sobre as instituições não comerciais?";"Que nelas o desempenho econômico é uma limitação, não a missão."
"Qual a importância de transformar o trabalho em realizador?";"Garantir a sobrevivência e o status social dos seres humanos no sistema."
"Como os impactos sociais afetam a autoridade da empresa?";"Exigiam que a empresa gerenciasse sua influência sobre empregados e vizinhos."
"O que é a preocupação com a qualidade de vida?";"Impacto qualitativo que a empresa deve causar na sociedade moderna."
"Como o cliente com informação mudou a gestão?";"Exigiu novas formas de distribuição e preços adequados no novo sistema."
"O que é a tecnologia múltipla na indústria moderna?";"Necessidade de dominar diversas tecnologias para manter a competitividade."
"O que é a gestão como arte sistêmica?";"Sua capacidade de integrar diversos conhecimentos humanos para resultados práticos."
"Por que o todo é maior que a soma das partes?";"Devido às interações e sinergia entre os componentes do sistema."
"O que o caso Tumucumaque prova sobre a gestão pública?";"Que vontade política e objetivos claros permitem o uso eficaz das funções administrativas."
"Qual a conclusão sobre a arte e a ciência na administração?";"A arte (dramatização) pode ilustrar e facilitar a compreensão da ciência administrativa."
"O que a delimitação das funções administrativas ensina?";"Que embora distintas, planejamento, organização, direção e controle se integram no processo."
"O que é a administração como processo dinâmico?";"A ideia de que as funções se repetem e se ajustam conforme o ambiente muda."
